"nama_lengkap","jenis_kelamin","pendidikan_terakhir","tingkat_kesejahteraan","pendapatan_per_bulan","pembelian_rata2_per_bulan"
"Muhammad Bustomi","laki-laki","SMP","kurang sejahtera",1670000,165000
"Meisha Siregar","perempuan","SMA","cukup sejahtera",2110000,145000
"Inayah","perempuan","Kuliah","sangat sejahtera",3350000,244000
"Rani Mutia","perempuan","Kuliah","sejahtera",2780000,229000
"Ahmad Badarudin","laki-laki","SMP","sejahtera",2870000,219000
"Faqihudin","laki-laki","SMP","cukup sejahtera",2850000,176000
"Rinjani Putri S","perempuan","SMA","cukup sejahtera",1780000,124000
"Annisa Nur","perempuan","Kuliah","sangat sejahtera",3230000,237000
"Ragil Ranituta","laki-laki","SMP","sangat sejahtera",2680000,173000
"Hidayatullah","laki-laki","SMA","sejahtera",2120000,192000
"Arief Muhammad","laki-laki","SMP","sejahtera",3610000,216000
"Putri Afifah","perempuan","SMA","sangat sejahtera",3230000,271000
"Tukul Arwana","laki-laki","SMA","sejahtera",3950000,317000
"Salsabila Meidita","perempuan","Kuliah","cukup sejahtera",3660000,308000
"Raffi Ahmad","laki-laki","Kuliah","sejahtera",2910000,207000
